Rubber,Speed,Spin,Control,Tacky,Weight,Sponge Hardness,Gears,Throw Angle,Consistency,Durable,Overall,Ratings,Estimated Price
Gewo NanoFLEX FT45,9.1,9.5,9.4,0.7,4.4,5.3,8.3,6.5,8.9,8.4,9.4,14,$ 45.00 
Donic J.O. Waldner,8.2,8.8,8.8,3.1,4.2,5.2,9.3,3.2,9,8,9.4,11,$ 37.00 
Tibhar 5Q Update,9.1,9.1,9,2.4,4.8,5.1,9.1,5.8,10,8.5,9.4,10,$ 58.00 
Andro Rasanter R53,9.4,9.5,8.9,0.9,8.1,9,9.2,6.7,9.2,9.2,9.4,19,$ 45.00 
Tibhar Rapid X-Press,9.2,9.2,8.3,3.8,3.8,5.3,8.9,4,5.5,6.4,9.4,15,$ 44.00 
Haifu White Shark II (2) (Tuned),8.7,8.1,8.5,2.2,3.7,2.8,6.8,3.5,7.5,5.5,9.4,13,$ 26.00 
Xiom Omega IV Euro,9,9.4,8.9,2.6,4.3,5.1,8.5,5.5,9.4,7.6,9.4,39,$ 50.00 
Andro Rasanter R47,9.4,9.3,9,1.8,5.7,6.4,9,6.1,9.4,7.5,9.4,71,$ 47.00 
Andro Rasanter R42,9,9.5,9.3,2.2,3.8,4.2,7.9,6.2,9.3,7.8,9.4,48,$ 38.00 
Tibhar 5Q,8.9,9.3,8.7,2.7,4.4,5.4,7.9,6,9.7,8.5,9.4,26,$ 53.00 
TSP Regalis Red,9.4,9.6,9.4,0.6,3.8,4.8,8.2,6,10,8,9.4,13,$ 40.00 
Tibhar Evolution EL-P,9.2,9.2,9,2.2,5.8,5.1,8.2,5.3,9.6,8.1,9.4,62,$ 58.00 
Tibhar Evolution MX-P,9.5,9.3,8.6,2.3,6.5,7,8.6,5.7,9.1,7.2,9.4,111,$ 33.00 
Palio Aeolus,9.3,9.2,9.4,4.4,5.3,6.8,9.3,5.8,9.4,8.3,9.4,10,$ 45.00 
Gewo Proton Neo 375,8.6,9.3,9.4,0.4,2.4,3,7.5,6.6,10,8.7,9.4,11,$ 42.00 
Yasaka Mark V GPS Soft,8.2,8.5,8.4,5,4.5,3.6,8.7,4.3,7.5,8.4,9.4,9,$ 35.00 
Xiom Omega VII Asia,9.6,9.4,8.7,1.9,5.7,8.4,8.7,4.3,10,7.8,9.4,7,$ 53.00 
Tibhar Quantum S,8.7,9.3,9.1,1.7,3.3,4.6,9.5,3.6,9.2,8.8,9.4,6,$ 65.00 
Yasaka Xtend HS,9.3,9.2,9.2,2.3,3.4,2.3,7.3,2.8,8.6,6.5,9.3,29,$ 44.00 
Gewo Nexxus EL Pro 43,9,9.3,9.4,0.9,3.8,5,8.6,6.4,8.6,9,9.3,13,$ 45.00 
Butterfly Tenergy 25,9.1,9.1,8.7,2.4,6.9,6.7,8.5,4.2,10,8.2,9.3,70,$ 78.00 
